,rating,genre,director,writer,theater_date,currency,box_office,runtime
1,R,Drama|Science Fiction and Fantasy,David Cronenberg,David Cronenberg|Don DeLillo,2012,$,600000,108 minutes
6,PG-13,Comedy,Jake Kasdan,Mike White,2002,$,41032915,82 minutes
7,R,Drama,Ray Lawrence,Raymond Carver|Beatrix Christian,2006,$,224114,123 minutes
8,R,Drama,Taylor Hackford,Mark Jacobson,2010,$,134904,117 minutes
15,R,Comedy|Drama|Mystery and Suspense,George Hickenlooper,Norman Snider,2010,$,1039869,108 minutes
16,R,Drama,,,2013,$,99165609,129 minutes
18,PG-13,Action and Adventure|Drama|Science Fiction and Fantasy,Carl Erik Rinsch,Chris Morgan|Hossein Amini,2013,$,20518224,127 minutes
19,R,Art House and International|Comedy|Drama|Musical and Performing Arts,Jim Jarmusch,Jim Jarmusch,2004,$,1971135,96 minutes
28,R,Drama,John Sayles,John Sayles,2003,$,312136,95 minutes
29,R,Drama,Ken Loach,Paul Laverty,2003,$,201010,106 minutes
44,R,Comedy,,,2012,$,132088910,122 minutes
48,R,Action and Adventure|Drama|Horror|Mystery and Suspense,James Wong,James Wong|Glen Morgan,2006,$,54100000,93 minutes
51,PG,Comedy|Kids and Family|Romance,Kevin Lima,,2007,$,127706877,108 minutes
52,R,Mystery and Suspense,Niels Arden Oplev,,2013,$,10880926,118 minutes
60,R,Action and Adventure|Mystery and Suspense,Patrick Lussier,,2011,$,10706786,107 minutes
61,PG-13,Comedy|Drama,Tom Hanks,Tom Hanks|Nia Vardalos,2011,$,35565975,99 minutes
69,PG,Art House and International|Drama|Musical and Performing Arts,Bruce Beresford,Jan Sardi,2010,$,4806750,117 minutes
76,R,Drama|Sports and Fitness,Ben Younger,Ben Younger,2016,$,5051927,116 minutes
79,PG-13,Comedy|Romance,,,2002,$,93300000,102 minutes
86,R,Comedy|Drama|Kids and Family,Derrick Borte,Derrick Borte,2010,$,1000000,93 minutes
97,PG-13,Action and Adventure|Science Fiction and Fantasy,Rob Bowman,Terry Hayes|Kevin Peterka|Gregg Chabot|Matthew Greenberg|Matt Greenberg,2002,$,42929971,101 minutes
106,R,Horror|Mystery and Suspense,Christian Alvart,Ray Wright,2010,$,13248477,109 minutes
120,PG,Comedy|Kids and Family,Thor Freudenthal,Jackie Filgo|Jeff Filgo|Gabe Sachs|Jeff Judah,2010,$,64001297,93 minutes
121,R,Comedy|Drama,Jennifer Jason Leigh|Alan Cumming,Jennifer Jason Leigh|Alan Cumming,2001,$,2974308,115 minutes
123,PG-13,Drama|Sports and Fitness,Clint Eastwood,Anthony Peckham,2009,$,37431431,134 minutes
124,PG-13,Comedy,Sam Weisman,,2003,$,22715908,98 minutes
125,PG-13,Action and Adventure|Drama,Martin Campbell,Robert King|Terry Hayes,2000,$,67771442,124 minutes
130,R,Horror|Mystery and Suspense,Jamie Blanks,,2001,$,19755422,96 minutes
139,PG,Action and Adventure|Comedy|Kids and Family,Thor Freudenthal,Jeff Lowell|Lois Duncan|Robert Schooley|Mark McCorkle,2009,$,73023275,100 minutes
144,R,Comedy|Drama,Colin Trevorrow,Derek Connolly,2012,$,4007792,86 minutes
146,NR,Drama,Rakeysh Omprakash Mehra|Rakeysh Omprakesh Mehra,Prasoon Joshi,2013,$,1626289,188 minutes
151,PG-13,Comedy,Jeff Byrd,Wayne Conley,2005,$,3998889,98 minutes
159,PG-13,Drama|Romance,Derek Cianfrance,Derek Cianfrance,2016,$,12533911,132 minutes
160,R,Drama|Musical and Performing Arts,Lars von Trier,Lars von Trier,2000,$,2839256,137 minutes
165,PG-13,Drama|Horror|Mystery and Suspense|Romance,Gore Verbinski,Ehren Kruger,2002,$,128579698,115 minutes
173,PG,Comedy|Drama|Musical and Performing Arts,Todd Graff,,2009,$,5205343,111 minutes
177,PG-13,Action and Adventure|Drama,,Kelsie Kullman,2006,$,54983983,15 minutes
188,R,Action and Adventure|Drama,Stan Lathan|Vondie Curtis-Hall,Vondie Curtis-Hall|Darin Scott,2006,$,21318194,97 minutes
189,R,Art House and International|Drama|Horror|Mystery and Suspense|Science Fiction and Fantasy,Neil Jordan,Moira Buffini,2013,$,84293,118 minutes
190,R,Drama|Romance,Todd Haynes,Phyllis Nagy,2015,$,8518148,118 minutes
198,R,Horror,Rob Zombie,Rob Zombie,2003,$,12583510,88 minutes
201,R,Comedy,Mark Helfrich,Josh Stolberg,2007,$,35000629,101 minutes
207,R,Action and Adventure|Drama|Western,,,2016,$,976847,97 minutes
214,R,Comedy|Western,Seth MacFarlane,Seth MacFarlane|Alec Sulkin|Wellesley Wild,2014,$,37331031,116 minutes
218,R,Comedy,Tim Heidecker|Eric Wareheim,Doug Lussenhop|Tim Heidecker|Jonathan Krisel|Eric Wareheim,2012,$,145778,94 minutes
223,R,Action and Adventure|Drama,Michael Mann,Michael Mann,2006,$,63400000,132 minutes
229,PG-13,Action and Adventure|Drama,,,2006,$,7009668,95 minutes
230,PG-13,Drama,Ryan Murphy,Ryan Murphy|Jennifer Salt,2010,$,80574010,133 minutes
231,PG-13,Drama|Mystery and Suspense,David Koepp,David Koepp,2004,$,47781388,95 minutes
234,R,Comedy|Drama,Jennifer Westfeldt,Jennifer Westfeldt,2012,$,5600000,107 minutes
242,R,Drama,David Lowery,David Lowery,2013,$,200000,105 minutes
246,R,Comedy,Seth Gordon,Craig Mazin,2013,$,134455175,111 minutes
247,R,Horror,Guillermo del Toro,Guillermo del Toro|Matthew Robbins|Lucinda Coxon,2015,$,25957696,119 minutes
249,PG-13,Comedy|Drama,Mike Leigh,Mike Leigh,2010,$,3200000,129 minutes
253,PG-13,Documentary|Musical and Performing Arts,Jeffrey Levy-Hinte,,2009,$,200000,93 minutes
259,R,Art House and International|Drama|Special Interest,Yimou Zhang,Yan Geling,2011,$,308164,142 minutes
260,PG-13,Drama|Mystery and Suspense,Clint Eastwood,Peter Morgan,2010,$,32741596,126 minutes
261,PG-13,Comedy|Drama,Tyler Perry,Tyler Perry,2014,$,15986272,111 minutes
269,R,Comedy,Michael Tiddes,Marlon Wayans,2014,$,13710572,87 minutes
270,R,Drama,Laurence Dunmore,Stephen Jeffreys,2006,$,4756532,114 minutes
271,PG,Action and Adventure|Animation|Comedy|Kids and Family,Jorge Blanco,Joe Stillman,2009,$,42194060,91 minutes
278,PG-13,Drama,Stephen Bradley,Stephen Bradley,2015,$,347321,100 minutes
287,R,Comedy|Drama|Musical and Performing Arts,Ang Lee,James Schamus,2009,$,7366736,121 minutes
311,R,Drama|Musical and Performing Arts,Darnell Martin,Darnell Martin,2008,$,8134217,108 minutes
318,PG-13,Action and Adventure|Drama|Mystery and Suspense,Pete Travis,,2008,$,72266306,90 minutes
323,NR,Documentary|Musical and Performing Arts,Dave Grohl,Mark Monroe,2013,$,419361,108 minutes
326,PG,Art House and International|Drama,Bruce Beresford,Paul Pender,2002,$,1341151,96 minutes
329,PG-13,Comedy,,,2001,$,2839456,70 minutes
330,PG-13,Action and Adventure|Mystery and Suspense,Doug Liman,Tony Gilroy|William Blake Herron,2002,$,121500000,117 minutes
338,PG-13,Action and Adventure|Science Fiction and Fantasy,Tim Story,Mark Frost|Michael France|Carl Johansen,2005,$,154485963,123 minutes
346,PG,Action and Adventure|Animation|Science Fiction and Fantasy,Kevin Munroe,Kevin Munroe,2007,$,54132596,86 minutes
347,PG,Action and Adventure|Kids and Family|Science Fiction and Fantasy,John Schultz,,2009,$,24967943,86 minutes
349,R,Action and Adventure|Horror,Christophe Gans,Roger Avary,2006,$,46982632,125 minutes
351,PG-13,Comedy|Romance,Woody Allen,Woody Allen,2011,$,55400000,94 minutes
356,PG,Drama,Rowdy Herrington,Rowdy Herrington|Bill Pryor|Tony DePaul,2004,$,2536460,128 minutes
358,PG-13,Comedy|Drama,Brian Robbins,John Gatins,2001,$,39697363,115 minutes
359,PG-13,Documentary|Musical and Performing Arts|Special Interest,Leon Gast,,2010,$,2367,88 minutes
367,R,Art House and International|Documentary|Drama|Special Interest,,,2003,$,140901,133 minutes
370,PG,Action and Adventure|Animation|Comedy|Science Fiction and Fantasy,Simon Wells,Simon Wells|Wendy Wells,2011,$,21379315,88 minutes
371,NR,Art House and International|Drama,Jayro Bustamante,Jayro Bustamante,2016,$,292923,91 minutes
373,NR,Comedy|Drama,Nanni Moretti,Nanni Moretti|Federica Pontremoli|Francesco Piccolo,2012,$,480926,104 minutes
375,PG,Animation|Comedy|Kids and Family,,Spike Feresten|Jerry Seinfeld|Barry Marder|Andy Robin|Chuck Martin|Tom Papa,2007,$,126597121,90 minutes
378,PG,Comedy|Kids and Family,Adam Shankman,Sam Harper,2005,$,82468131,93 minutes
389,PG,Comedy,Jared Hess,Jared Hess|Jerusha Hess,2004,$,44478018,86 minutes
390,R,Comedy,Jordan Vogt-Roberts,Chris Galletta,2013,$,1300000,95 minutes
400,PG,Drama|Kids and Family,John Stephenson,Candace Lee|Eric Newman,2013,$,2209479,100 minutes
406,R,Comedy|Drama,Tamara Jenkins,Tamara Jenkins,2007,$,6426953,114 minutes
412,R,Art House and International|Comedy|Drama|Romance,Jenniphr Goodman,Duncan North|Greer Goodman|Jenniphr Goodman,2000,$,2586310,87 minutes
414,R,Action and Adventure|Mystery and Suspense,John Dahl,,2001,$,21254983,96 minutes
423,PG-13,Action and Adventure|Drama|Horror|Western,Jimmy Hayward,Mark Neveldine|Brian Taylor,2010,$,10500000,84 minutes
430,PG-13,Comedy|Drama|Romance,Clare Kilner,Dana Fox,2005,$,32000000,89 minutes
431,PG,Action and Adventure|Animation|Comedy,,,2008,$,114053579,96 minutes
434,PG-13,Comedy,Trish Sie,Mike White|Kay Cannon,2017,$,104880310,
436,PG-13,Action and Adventure|Comedy|Drama,Dennis Dugan,David Ronn|Jay Scherick,2003,$,35764982,91 minutes
437,PG-13,Comedy|Drama,,,2005,$,17364602,118 minutes
