,tconst,averagerating,numvotes,primary_title,start_year,runtime_minutes,genres
67610,tt9248032,80,62,Buttons,2018,115.0,"Drama,Family"
27375,tt6840538,80,61,Las cinéphilas,2017,74.0,Documentary
22856,tt6153336,80,59,Las Sandinistas!,2018,96.0,"Documentary,History,War"
47518,tt3982912,80,59,Karel Zeman: Adventurer in Film,2015,102.0,"Biography,Documentary"
66176,tt8119782,80,59,América,2018,76.0,Documentary
2655,tt2514028,80,56,Rosenwald,2015,95.0,"Biography,Documentary"
34227,tt4601180,80,56,730,2015,104.0,Drama
45629,tt9614440,80,56,Mickey and the Bear,2019,88.0,Drama
70037,tt10011102,80,55,The Sholay Girl,2019,106.0,"Action,Biography,Drama"
15767,tt6774588,80,54,Curtiz,2019,98.0,"Biography,Drama,History"
36006,tt9094134,80,54,"Rona, Azim's Mother",2018,89.0,Drama
24780,tt5880458,80,53,One Ticket Please,2017,65.0,Documentary
31740,tt6123930,80,51,Hate Rising,2016,50.0,Documentary
4531,tt8443326,80,49,Intention,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Documentary
32735,tt2543164,79,515483,Arrival,2016,116.0,"Drama,Mystery,Sci-Fi"
35643,tt3501632,79,482995,Thor: Ragnarok,2017,130.0,"Action,Adventure,Comedy"
49039,tt5013056,79,466580,Dunkirk,2017,106.0,"Action,Drama,History"
17302,tt1398426,79,165307,Straight Outta Compton,2015,147.0,"Biography,Drama,History"
52014,tt3553976,79,159329,Captain Fantastic,2016,118.0,"Comedy,Drama"
54591,tt5726616,79,153936,Call Me by Your Name,2017,132.0,"Drama,Romance"
8264,tt5104604,79,108245,Isle of Dogs,2018,101.0,"Adventure,Animation,Comedy"
31364,tt4698684,79,87532,Hunt for the Wilderpeople,2016,101.0,"Adventure,Comedy,Drama"
28362,tt4468740,79,46481,Paddington 2,2017,103.0,"Adventure,Comedy,Family"
56474,tt5168192,79,44200,"I, Daniel Blake",2016,100.0,Drama
56805,tt6452574,79,40473,Sanju,2018,155.0,"Biography,Drama"
9791,tt6333060,79,28979,Icarus,2017,120.0,"Documentary,Sport,Thriller"
71911,tt4285496,79,17377,Embrace of the Serpent,2015,125.0,"Adventure,Drama"
14923,tt4981966,79,14662,24,2016,164.0,"Action,Sci-Fi,Thriller"
23022,tt6980546,79,13446,Bharat Ane Nenu,2018,173.0,"Action,Drama"
69666,tt5213534,79,8625,Oasis: Supersonic,2016,122.0,"Biography,Documentary,Music"
16969,tt5598102,79,8261,Faces Places,2017,94.0,Documentary
68124,tt4065552,79,6524,Unknown Soldier,2017,180.0,"Drama,War"
46994,tt5082014,79,5279,Charlie,2015,130.0,"Drama,Musical,Thriller"
63055,tt6510332,79,4825,McQueen,2018,111.0,"Biography,Documentary"
58876,tt6700846,79,3305,AlphaGo,2017,90.0,Documentary
18147,tt5518022,79,2803,"Houston, We Have a Problem!",2016,88.0,"Documentary,Drama"
24276,tt4016226,79,2517,The Resurrection of Jake the Snake,2015,93.0,"Biography,Documentary,Drama"
57485,tt4661358,79,2387,Hellstorm,2015,90.0,"Documentary,History,War"
60290,tt5952266,79,2384,The Ivory Game,2016,112.0,Documentary
24672,tt5466576,79,2364,BoBoiBoy: The Movie,2016,100.0,"Action,Animation,Comedy"
50722,tt5097070,79,2231,Dancer,2016,85.0,"Biography,Documentary"
73679,tt7797658,79,2138,Awe!,2018,150.0,Thriller
52296,tt8020896,79,1976,An Elephant Sitting Still,2018,230.0,Drama
14914,tt4964598,79,1789,Heart Attack,2015,130.0,"Comedy,Drama,Romance"
6685,tt5001772,79,1649,Justin Timberlake + the Tennessee Kids,2016,90.0,"Documentary,Music"
23009,tt6915596,79,1611,Mayaanadhi,2017,136.0,"Drama,Romance"
43396,tt4291066,79,1583,B-Movie: Lust & Sound in West-Berlin 1979-1989,2015,92.0,"Documentary,Music"
64461,tt5836866,79,1541,The Work,2017,89.0,Documentary
43685,tt5310412,79,1272,Heights,2017,142.0,"Comedy,Drama,History"
72450,tt6270936,79,1214,Aramm,2017,119.0,Drama
35869,tt7689958,79,1202,Jane Fonda in Five Acts,2018,133.0,"Adventure,Drama"
43551,tt4874350,79,1159,Shadow Fighter,2018,99.0,Drama
35885,tt7816386,79,1117,Jawani Phir Nahi Ani 2,2018,165.0,Comedy
25492,tt7717440,79,1053,The Legend of Muay Thai: 9 Satra,2018,102.0,Animation
18180,tt5638270,79,1046,Eedo Rakam Aado Rakam,2016,129.0,"Comedy,Romance"
30079,tt8490894,79,1016,Ee Nagaraniki Emaindi,2018,122.0,"Comedy,Drama"
15998,tt8378126,79,836,Queen of Hearts,2019,127.0,Drama
68334,tt4697076,79,751,Dynamite,2015,142.0,"Action,Thriller"
53248,tt5258390,79,737,Ricky,2016,137.0,"Romance,Thriller"
70997,tt6660112,79,696,Nabab,2017,140.0,"Comedy,Romance,Thriller"
69680,tt5237816,79,567,First Rank Raju,2015,148.0,"Comedy,Drama"
69658,tt5178964,79,565,Soldier's Lullaby,2018,120.0,War
10176,tt5275872,79,537,Nothing Left Unsaid: Gloria Vanderbilt & Anderson Cooper,2016,108.0,Documentary
68326,tt4683668,79,522,Harold and Lillian: A Hollywood Love Story,2015,94.0,"Biography,Documentary"
21193,tt8688912,79,508,Chi La Sow,2018,135.0,Comedy
47952,tt5538118,79,504,The Best of All Worlds,2017,100.0,Drama
49312,tt6029778,79,480,Bathtubs Over Broadway,2018,87.0,"Comedy,Documentary,Music"
13533,tt8991264,79,454,Hoaxed,2019,125.0,Documentary
37433,tt7494128,79,435,The Ancient Woods,2017,85.0,Documentary
10577,tt6965446,79,431,On Yoga the Architecture of Peace,2017,87.0,Documentary
48180,tt6420830,79,423,Appatlo Okadundevadu,2016,125.0,Drama
52238,tt7624932,79,403,High & Low: The Movie 3 - Final Mission,2017,118.0,"Action,Drama"
68775,tt6267944,79,381,Ti Saddhya Kay Karte,2017,127.0,Romance
10117,tt5067984,79,371,The Cambridge Squatter,2016,99.0,Drama
27697,tt9339958,79,363,Sirdys,2018,110.0,"Drama,Romance"
52343,tt8520614,79,349,Under the Wire,2018,95.0,Documentary
57845,tt6026818,79,331,Sharkwater Extinction,2018,85.0,Documentary
24605,tt5225580,79,327,Kabaddi Kabaddi,2015,135.0,"Comedy,Drama"
64827,tt7640198,79,327,Comic Sans,2018,103.0,"Comedy,Drama,Romance"
23381,tt3800560,79,305,Tempestad,2016,105.0,Documentary
38986,tt6843704,79,299,September,2017,70.0,Drama
21203,tt8828348,79,291,Maskeli Krolar,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Comedy
64108,tt4578160,79,274,To Kalesma,2016,94.0,Drama
18321,tt6166322,79,260,John Kincaid Unleashed,2017,102.0,Action
41605,tt3220890,79,253,Always,2015,99.0,"Drama,Romance"
35954,tt8422468,79,252,Scam Story,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Comedy,Documentary,Musical"
35922,tt8091892,79,251,Gekijouban Fate/Stay Night: Heaven's Feel - II. Lost Butterfly,2019,117.0,"Animation,Drama,Fantasy"
72074,tt4882548,79,240,Burn Your Maps,2016,102.0,Adventure
33380,tt4390076,79,233,One Day in Auschwitz,2015,45.0,Documentary
27703,tt9448332,79,232,Ishq,2019,134.0,"Drama,Romance,Thriller"
49564,tt2091245,79,222,Black and White Stripes: The Juventus Story,2018,107.0,"Biography,Documentary,Sport"
17042,tt5860550,79,208,Vico C: La Vida Del Filósofo,2017,114.0,"Biography,Drama,Music"
7414,tt9373234,79,205,Laal Kabootar,2019,102.0,"Crime,Thriller"
53277,tt5350800,79,193,Starless Dreams,2016,76.0,Documentary
26948,tt5111886,79,192,Snap,2015,97.0,"Drama,Romance"
13500,tt8613070,79,189,Portrait of a Lady on Fire,2019,119.0,"Drama,History,Romance"
47779,tt4885016,79,189,The Discrete Charm of Geometry,2015,66.0,Documentary
67308,tt6842752,79,189,Architects of Denial,2017,102.0,Documentary
7279,tt7935892,79,187,The Oscar Nominated Short Films 2018: Live Action,2018,96.0,Action
8199,tt4937126,79,186,It All Started at the End,2015,208.0,Documentary
60064,tt5116896,79,184,Unchained: The Untold Story of Freestyle Motocross,2016,92.0,Documentary
64603,tt6392918,79,183,"Paula Rego, Secrets & Stories",2017,92.0,"Biography,Documentary"
65848,tt3379352,79,178,Mully,2015,81.0,"Adventure,Biography,Documentary"
18073,tt5226844,79,172,Branagh Theatre Live: The Winter's Tale,2015,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
14701,tt4221762,79,168,TransFatty Lives,2015,83.0,"Biography,Documentary"
31334,tt4567500,79,165,Noem My Skollie: Call Me Thief,2016,150.0,"Crime,Drama"
66062,tt7251888,79,160,Coborâm la prima,2018,84.0,Drama
18076,tt5241482,79,150,D-love,2017,93.0,Drama
73575,tt7153418,79,150,Kataka,2017,107.0,"Horror,Thriller"
40492,tt9109794,79,142,Kolaigaran,2019,109.0,"Action,Crime,Drama"
61930,tt7983678,79,140,Nossa Chape,2018,101.0,"Documentary,Sport"
15126,tt5759068,79,132,Freightened: The Real Price of Shipping,2016,90.0,Documentary
68439,tt5069158,79,125,Mango Dreams,2016,92.0,"Adventure,Drama"
26605,tt3913194,79,123,Turn It Around: The Story of East Bay Punk,2017,155.0,"Documentary,History,Music"
71184,tt7759652,79,121,A-Level,2017,88.0,"Drama,Family"
66128,tt7736212,79,120,Hutsulka Ksenya,2019,90.0,Musical
15025,tt5354986,79,116,Depth Two,2016,80.0,"Documentary,Drama,History"
8244,tt5069138,79,106,Golden Dawn: A Personal Affair,2016,90.0,Documentary
26720,tt4335808,79,104,Frame by Frame,2015,85.0,"Documentary,War"
31878,tt6779296,79,102,Kuroko No Basket Movie 2: Winter Cup Soushuuhen - Namida No Saki E,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Animation,Comedy,Drama"
43870,tt6010976,79,102,Midnight Family,2019,90.0,"Action,Crime,Documentary"
34528,tt5678440,79,100,"Jerico, the Infinite Flight of Days",2016,77.0,Documentary
22433,tt4466446,79,98,L'homme qui répare les femmes: la colère d'Hippocrate,2015,112.0,"Biography,Documentary,News"
43639,tt5150210,79,98,No Address,2015,120.0,"Crime,Drama,Family"
68515,tt5300268,79,96,Billion Star Hotel,2016,92.0,Drama
375,tt6731592,79,95,"Piazzolla, the Years of the Shark",2018,90.0,Documentary
3861,tt8879946,79,92,Maiden,2018,97.0,Documentary
6741,tt5196166,79,92,Chernobyl,2015,53.0,"Documentary,History"
50527,tt4372736,79,92,Because Of Grácia,2017,107.0,"Comedy,Drama,Romance"
13402,tt7786264,79,91,Shatru Gate,2018,138.0,"Comedy,Drama"
68016,tt3733374,79,87,Left on Purpose,2015,85.0,"Biography,Documentary,Drama"
19412,tt7527564,79,85,Inventing Tomorrow,2018,87.0,Documentary
25666,tt9266104,79,84,After Owarimonogatari,2018,148.0,"Animation,Fantasy"
63171,tt7285802,79,84,Egreti Gelin Ladik,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
24937,tt10215424,79,83,Liam: As It Was,2019,85.0,"Documentary,Music"
7107,tt6779396,79,82,Cash on Delivery,2017,137.0,Thriller
22490,tt4645358,79,80,Who Will Write Our History,2018,95.0,"Documentary,History"
44264,tt8742774,79,80,Mobile Suit Gundam: The Origin VI - Rise of the Red Comet,2018,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Action,Animation,Drama"
72268,tt5646314,79,80,Five Nights at Freddy's 4 the Movie,2016,60.0,"Animation,Horror"
6549,tt4579890,79,79,Un importante preestreno,2015,72.0,Documentary
36009,tt9146462,79,78,Running For Good: The Fiona Oakes Documentary,2018,74.0,Documentary
58858,tt6545250,79,78,Het doet zo zeer,2017,87.0,Documentary
59259,tt10069476,79,78,Seytan-i Ins,2019,82.0,Horror
68773,tt6262750,79,76,Ammani,2016,90.0,"Drama,Family"
6986,tt6206758,79,74,The Uncertainty Has Settled,2017,89.0,Documentary
34116,tt4268054,79,73,Monsoon,2018,100.0,"Drama,Romance"
44145,tt7689946,79,73,This Is Home: A Refugee Story,2018,91.0,"Adventure,Drama"
24340,tt4195236,79,72,I Am Me,2015,74.0,"Drama,Family"
30776,tt2828310,79,72,Intersection,2015,83.0,"Crime,Drama,Mystery"
18772,tt2367680,79,71,Runaway Hearts,2015,95.0,"Drama,Family"
69838,tt5821276,79,71,Bench Cinema,2016,117.0,"Comedy,Drama"
12259,tt6241654,79,69,Motley Crue: The End,2016,58.0,Documentary
61611,tt3437498,79,68,"Dirty, Yellow, Darkness",2017,95.0,Drama
43148,tt3555216,79,67,Good Fortune,2016,86.0,"Biography,Documentary,Family"
49157,tt5358844,79,67,Head of State,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Comedy
67519,tt8226078,79,67,Ballet Now,2018,74.0,Documentary
606,tt8196200,79,66,Charm City,2018,108.0,Documentary
73080,tt2613458,79,66,Khoya,2015,82.0,Drama
9741,tt6106822,79,64,Blue Note Records: Beyond the Notes,2018,85.0,"Documentary,Music"
21271,tt0328810,79,61,My Land,2018,102.0,"Drama,Family"
42168,tt9896916,79,61,The Pilgrim's Progress,2019,108.0,"Adventure,Animation,Family"
56752,tt6259198,79,61,Every Act of Life,2018,93.0,"Biography,Documentary"
63367,tt8857610,79,61,Namdev Bhau in Search of Silence,2018,84.0,Adventure
7972,tt4075804,79,60,Hand Gestures,2015,77.0,Documentary
7010,tt6273388,79,59,Sealers: One Last Hunt,2016,98.0,Documentary
58955,tt7174366,79,59,The Heretic,2018,71.0,Documentary
68167,tt4177972,79,59,Room Full of Spoons,2016,113.0,Documentary
9240,tt4171892,79,58,Endor,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Adventure,Horror"
31782,tt6271638,79,58,Kabisera,2016,110.0,Drama
18223,tt5812254,79,56,The Ultimate Triathlon,2016,94.0,Documentary
54633,tt5894410,79,56,Slugterra: Into the Shadows,2016,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>","Action,Adventure,Fantasy"
18384,tt6436254,79,54,A Moon of Nickel and Ice,2017,110.0,Documentary
21173,tt8421806,79,54,Kasal,2018,115.0,Romance
30111,tt8983300,79,54,Uda Aida,2019,136.0,Drama
43604,tt5068938,79,54,"Olympic Pride, American Prejudice",2016,82.0,"Documentary,History"
34086,tt4188654,79,52,Cheerleader,2016,70.0,"Drama,Romance"
46605,tt3710778,79,52,Beyond Glory,2015,78.0,War
6803,tt5492496,79,51,The Combination: Redemption,2019,"<bound method Series.median of 0         175.0
1         114.0
2         122.0
3           NaN
4          80.0
          ...  
146139    123.0
146140      NaN
146141      NaN
146142    116.0
146143      NaN
Name: runtime_minutes, Length: 146144, dtype: float64>",Drama
45299,tt6782422,79,51,Purano Dunga,2016,145.0,"Comedy,Drama"
47283,tt6066170,79,50,A Town Called Panic: Double Fun,2016,60.0,"Animation,Comedy"
50918,tt5801522,79,50,Into the Outbreak,2017,95.0,"Horror,Sci-Fi"
67359,tt7127978,79,50,Tanzania Transit,2018,75.0,Documentary
12244,tt6194934,79,49,Dancing Beethoven,2016,80.0,Documentary
63000,tt3498820,78,583507,Captain America: Civil War,2016,147.0,"Action,Adventure,Sci-Fi"
68021,tt3748528,78,478592,Rogue One: A Star Wars Story,2016,133.0,"Action,Adventure,Sci-Fi"
67201,tt3460252,78,434966,The Hateful Eight,2015,168.0,"Crime,Drama,Mystery"
57698,tt5463162,78,391735,Deadpool 2,2018,119.0,"Action,Adventure,Comedy"
60595,tt1596363,78,309227,The Big Short,2015,130.0,"Biography,Comedy,Drama"
31999,tt1517451,78,249245,A Star Is Born,2018,136.0,"Drama,Music,Romance"
60007,tt4912910,78,233877,Mission: Impossible - Fallout,2018,147.0,"Action,Adventure,Thriller"
6389,tt4034228,78,214557,Manchester by the Sea,2016,137.0,Drama
53148,tt4846340,78,171131,Hidden Figures,2016,127.0,"Biography,Drama,History"
42763,tt2582496,78,112627,Me and Earl and the Dying Girl,2015,105.0,"Comedy,Drama,Romance"
6973,tt6155172,78,106768,Roma,2018,135.0,Drama
64028,tt4302938,78,105578,Kubo and the Two Strings,2016,101.0,"Action,Adventure,Animation"
52492,tt1365050,78,63797,Beasts of No Nation,2015,137.0,"Drama,War"
17989,tt4901306,78,45614,Perfect Strangers,2016,97.0,"Comedy,Drama"
58551,tt2870648,78,43814,Amy,2015,128.0,"Biography,Documentary,Music"
68485,tt5186714,78,41497,The Salesman,2016,124.0,"Drama,Thriller"
32991,tt3262342,78,39737,Loving Vincent,2017,94.0,"Animation,Biography,Crime"
46651,tt3841424,78,28287,Land of Mine,2015,100.0,"Drama,History,War"
9295,tt4434004,78,22991,Udta Punjab,2016,148.0,"Action,Crime,Drama"
64733,tt7098658,78,18369,Raazi,2018,138.0,"Action,Drama,Thriller"
28679,tt5764096,78,17165,Hindi Medium,2017,132.0,"Comedy,Drama"
21682,tt2321405,78,17082,My Life as a Zucchini,2016,66.0,"Animation,Comedy,Drama"
71166,tt7642818,78,14442,Aile Arasinda,2017,124.0,Comedy
6876,tt5804038,78,13948,I Am Not Your Negro,2016,93.0,Documentary
15922,tt7748244,78,11933,Ölümlü Dünya,2018,107.0,"Action,Comedy"
52815,tt3742378,78,10833,The Second Mother,2015,112.0,"Comedy,Drama"
12095,tt5700224,78,10091,Two Lottery Tickets,2016,86.0,Comedy
65544,tt2531318,78,9666,The Beatles: Eight Days a Week - The Touring Years,2016,106.0,"Documentary,Music"
41828,tt6878038,78,9301,A Taxi Driver,2017,137.0,"Action,Drama,History"
15037,tt5446858,78,7875,Zero Days,2016,116.0,Documentary
2051,tt7914416,78,6430,One Cut of the Dead,2017,96.0,"Comedy,Horror"
14866,tt4769824,78,6069,In This Corner of the World,2016,129.0,"Animation,Drama,History"
37563,tt8590896,78,5703,Geetha Govindam,2018,142.0,"Drama,Romance"
41974,tt7758160,78,5412,Goodachari,2018,147.0,"Action,Thriller"
69636,tt5121000,78,4696,Aligarh,2015,114.0,"Biography,Drama"
43658,tt5221894,78,4505,The Other Me,2016,101.0,"Crime,Drama,Mystery"
3718,tt7745068,78,3203,My Hero Academia: Two Heroes,2018,96.0,"Action,Adventure,Animation"
27439,tt7207238,78,3018,Jane,2017,90.0,"Biography,Documentary"
72354,tt5951188,78,2958,The Balkan Line,2019,130.0,"Action,War"
18010,tt4992086,78,2757,Bhale Bhale Magadivoy,2015,137.0,"Comedy,Romance"
8120,tt4659056,78,2545,The Day Will Come,2016,119.0,Drama
7723,tt1725969,78,2345,Ethel & Ernest,2016,94.0,"Animation,Drama,History"
22032,tt3268850,78,2159,Unrest,2017,98.0,"Documentary,Drama,History"
40462,tt8769032,78,2139,The Hows of Us,2018,117.0,"Drama,Romance"
56520,tt5333612,78,2052,Actor in Law,2016,116.0,"Comedy,Drama,Romance"
10436,tt6238896,78,1908,Earth: One Amazing Day,2017,95.0,"Documentary,Family"
21034,tt7367960,78,1728,Checkered Ninja,2018,81.0,"Adventure,Animation,Comedy"
9856,tt4003070,78,1600,Diamond Dust,2018,162.0,"Crime,Drama,Mystery"
53162,tt4890452,78,1509,Given,2016,72.0,"Adventure,Documentary,Family"
24045,tt6168298,78,1454,One Day,2016,135.0,"Drama,Romance"
